"name","yearpublished","minplayers","maxplayers","playingtime","minplaytime","maxplaytime"
"Runewars",2010,2,4,180,180,180
"Russian Railroads",2013,2,4,120,90,120
"Saint Petersburg",2004,2,4,60,45,60
"Samurai",1998,2,4,60,30,60
"San Juan",2004,2,4,60,45,60
"Schotten-Totten",1999,2,2,20,20,20
"Seasons",2012,2,4,60,60,60
"Sekigahara: The Unification of Japan",2011,2,2,180,180,180
"Senet",-3500,2,2,30,30,30
"Sentinels of the Multiverse",2011,1,5,60,30,60
"Seven Men's Morris",-1400,2,2,0,0,0
"Shadows of Brimstone: City of the Ancients",2014,1,4,120,120,120
"Shadows of Brimstone: Swamps of Death",2014,1,4,60,60,60
"Shadows over Camelot",2005,3,7,80,60,80
"Sheriff of Nottingham",2014,3,5,60,60,60
"Sherlock Holmes Consulting Detective",1981,1,8,120,60,120
"Shogun",2006,3,5,150,150,150
"Sid Meier's Civilization: The Board Game",2010,2,4,180,180,180
"Six Men's Morris",-1400,2,2,0,0,0
"Small World",2009,2,5,80,40,80
"Small World Underground",2011,2,5,90,30,90
"Smash Up: Awesome Level 9000",2013,2,4,45,45,45
"Snakes and Ladders",-200,2,6,30,30,30
"Space Alert",2008,1,5,30,30,30
"Space Hulk",1989,2,4,45,45,45
"Space Hulk (third edition)",2009,2,2,60,60,60
"Spartacus: A Game of Blood & Treachery",2012,3,4,150,150,150
"Specter Ops",2015,2,5,90,60,90
"Splendor",2014,2,4,30,30,30
"Star Realms",2014,2,2,20,20,20
"Star Trek: Attack Wing",2013,2,99,60,60,60
"Star Trek: Fleet Captains",2011,2,4,75,75,75
"Star Wars: Imperial Assault",2014,2,5,90,90,90
"Star Wars: The Card Game",2012,2,2,60,60,60
"Star Wars: X-Wing Miniatures Game",2012,2,4,60,60,60
"StarCraft: The Board Game",2007,2,6,180,180,180
"Steam",2009,3,5,90,90,90
"Stone Age",2008,2,4,90,60,90
"Struggle of Empires",2004,2,7,240,180,240
"Suburbia",2012,1,4,90,90,90
"Summoner Wars",2009,2,4,60,30,60
"Summoner Wars: Guild Dwarves vs Cave Goblins",2009,2,4,30,30,30
"Summoner Wars: Master Set",2011,2,4,30,30,30
"Summoner Wars: Phoenix Elves vs Tundra Orcs",2009,2,4,30,30,30
"Survive: Escape from Atlantis!",1982,2,4,60,60,60
"Taj Mahal",2000,3,5,100,75,100
"Tajemnicze Domostwo",2013,2,7,60,30,60
"Takenoko",2011,2,4,45,45,45
"Tales of the Arabian Nights",2009,1,6,120,120,120
"Targi",2012,2,2,60,60,60
"Tash-Kalar: Arena of Legends",2013,2,4,60,30,60
"Telestrations",2009,4,8,30,30,30
"Terra Mystica",2012,2,5,150,60,150
"Terror in Meeple City",2013,2,4,45,45,45
"The Battle of Five Armies",2014,2,2,240,90,240
"The Castles of Burgundy",2011,2,4,90,30,90
"The Lord of the Rings: The Card Game",2011,1,2,60,60,60
"The Manhattan Project",2012,2,5,120,120,120
"The Pillars of the Earth",2006,2,4,120,90,120
"The Princes of Florence",2000,2,5,100,75,100
"The Republic of Rome",1990,1,6,300,300,300
"The Resistance",2009,5,10,30,30,30
"The Resistance: Avalon",2012,5,10,30,30,30
"The Royal Game of Ur",-2500,2,2,30,30,30
"The Speicherstadt",2010,2,5,45,45,45
"The Voyages of Marco Polo",2015,2,4,100,40,100
"Thebes",2007,2,4,60,60,60
"Three Men's Morris",-1400,2,2,5,5,5
"Through the Ages: A Story of Civilization",2006,2,4,240,240,240
"Thunder Alley",2014,2,7,90,90,90
"Thunderstone Advance: Towers of Ruin",2012,1,5,90,60,90
"Thurn and Taxis",2006,2,4,60,60,60
"Tic-Tac-Toe",-1300,2,2,1,1,1
"Tichu",1991,3,6,60,60,60
"Ticket to Ride",2004,2,5,60,30,60
"Ticket to Ride: Europe",2005,2,5,60,30,60
"Ticket to Ride: Mrklin",2006,2,5,60,30,60
"Ticket to Ride: Nordic Countries",2007,2,3,60,30,60
"Tide of Iron",2007,2,4,120,120,120
"Tigris & Euphrates",1997,2,4,90,90,90
"Tikal",1999,2,4,120,60,120
"Time's Up!",1999,4,18,90,90,90
"Time's Up! Title Recall!",2008,4,18,90,90,90
"Trains",2012,2,4,45,45,45
"Trajan",2011,2,4,90,90,90
"Troyes",2010,2,4,90,90,90
"Twilight Imperium (Third Edition)",2005,3,6,240,180,240
"Twilight Struggle",2005,2,2,180,180,180
"TZAAR",2007,2,2,30,30,30
"Tzolk'in: The Mayan Calendar",2012,2,4,90,90,90
"Ultimate Werewolf: Ultimate Edition",2008,5,68,90,30,90
"Up Front",1983,2,3,60,60,60
"Vikings",2007,2,4,60,60,60
"Village",2011,2,4,90,60,90
"Vinci",1999,3,6,90,90,90
"Vinhos",2010,2,4,135,60,135
"Viticulture",2013,2,6,90,90,90
"Wallenstein (first edition)",2002,3,5,150,150,150
"War of the Ring (first edition)",2004,2,4,180,180,180
"War of the Ring (second edition)",2012,2,4,150,150,150
"Warhammer: Invasion",2009,2,2,45,45,45
"Washington's War",2010,2,2,90,90,90
"Wilderness War",2001,2,2,180,180,180
"Wits & Wagers",2005,3,7,25,25,25
"Xia: Legends of a Drift System",2014,3,5,120,120,120
"YINSH",2003,2,2,30,30,30
"Zendo",2001,3,5,60,60,60
"Zombicide",2012,1,6,60,60,60
"Zombicide Season 2: Prison Outbreak",2013,1,6,60,60,60
