Country Code,Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
IND,INDIA,"5,781,390","2,472,816","1,952,455","15,658,113","15,274,602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,446,989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,549,411","85,444,131","84,310,508","74,365,076"
IRL,IRELAND,"8,498,669","8,070,687","8,690,088","16,704,629","18,250,115","5,477,152","2,929,735","2,726,348","2,422,557","4,910,805","4,720,632","2,389,281","724,321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
IRN,"IRAN, ISLAMIC REPUBLIC OF","310,927","683,957","766,772","3,854,914","5,793,687","2,235,572","4,287,417","3,407,935","3,028,196","3,069,253","1,123,960","1,365,303","19,466,137","34,067,751","17,271,129","17,966,980","13,008,978","22,485,969","66,409,167","105,850,646","86,797,710","81,688,953","90,211,033","41,632,542","97,110,312","139,406,518","86,162,784","105,285,694","43,809,851","33,859,897","68,707,220","41,516,963","41,122,073","61,781,953","194,790,476","305,974,905","726,099,873","780,081,109","758,019,385"
ISR,ISRAEL,"11,400,654","7,318,335","7,795,520","13,492,201","16,222,325","4,191,698","1,786,424",0,0,0,"449,584","3,003,667","1,856,073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
ITA,ITALY,"2,383,773","1,025,935","638,977","1,156,474","1,303,580","447,114","714,569","397,592","252,350","511,542","674,376","546,121","45,270","946,326","358,984","44,917",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
JPN,JAPAN,"123,852,561","82,758,744","71,629,325","117,317,897","118,915,434","47,505,913","58,308,868","46,234,315","36,338,352","60,464,284","59,120,291","35,156,559","22,951,933","27,206,884","17,271,129","19,404,338","9,080,267","13,379,151","21,745,747","22,882,419","17,148,484","12,015,931","10,395,748","4,951,676","4,977,418","3,240,997","916,881","826,675","338,948","249,266","616,329","232,245","231,891","304,559","858,526","1,052,203","1,713,293","1,650,674","929,025"
KAZ,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"260,924,673","126,676,384","172,970,021","272,811,191","200,192,341","280,288,791","106,942,918","89,812,777","218,845,219","146,745,294","151,502,373","211,015,826","658,829,124","901,333,012","2,394,407,564","2,566,409,734","2,488,898,601"
KEN,KENYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF","1,347,350","1,231,122","1,341,852","2,826,937","4,055,581","1,509,011","1,643,510","965,582","353,290","409,234","1,011,564","750,917","950,672","1,537,780","757,856","988,184","468,323","955,654","130,214",0,"131,911",0,0,0,"4,118","42,286","2,402",0,,,,,,,,,,,
MAR,MOROCCO,"3,316,554","2,530,639","2,428,113","5,268,383","7,242,109","1,732,569","3,287,020","1,931,163","2,170,207","8,491,600","8,092,511","5,188,152","10,049,959","14,313,187","8,336,411","14,732,923","4,683,232","8,038,734","18,099,753","21,948,443","18,203,775","15,116,817","11,942,222","6,874,658","10,724,141","19,096,783","11,691,233","13,659,644","2,597,547","1,860,373","3,603,312","1,810,514","1,545,943","2,131,912","5,505,582","6,835,333","12,243,718","9,677,348","5,392,732"
MEX,MEXICO,"68,672,601","49,165,364","58,355,338","113,010,699","131,766,307","56,288,345","78,093,165","66,742,138","61,852,098","134,018,033","241,178,554","215,286,700","166,547,895","170,825,567","116,868,766","117,385,773","96,809,498","196,407,549","449,976,654","464,483,175","477,046,389","345,513,399","331,571,150","247,171,142","346,477,591","579,391,425","393,622,040","475,191,471","243,899,220","212,083,037","298,394,027","227,348,247","199,678,096","272,198,990","718,642,418","1,108,127,042","1,889,838,528","2,377,742,277","1,559,874,792"
MMR,MYANMAR,"59,602","22,079","13,373","139,805","146,871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"229,549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,312,917","121,466,071","139,516,470","140,002,249"
MNG,MONGOLIA,0,0,0,0,0,0,0,0,"2,018,797","22,200,930","49,454,235","49,014,387","43,006,581","56,188,131","51,055,532","61,087,731","31,221,548","67,457,906","169,278,269","192,087,790","163,438,242","88,181,432","88,664,558","54,804,963","98,970,975","166,279,785","98,525,862","110,341,537","39,723,465","30,425,879","63,733,326","41,673,978","40,721,674","57,257,078","192,148,872","305,240,236","722,169,808","769,847,738","758,208,068"
MOZ,MOZAMBIQUE,"614,195","1,072,850","1,435,964","3,169,969","3,569,311","1,339,766","1,382,601","1,628,509","142,641","198,095","217,619",0,0,0,0,"41,635","22,243","104,156","125,809","605,135","127,361",0,0,0,0,0,0,0,,,,,,,,,,,
